n,r,S_size,SS_size,coverage_density
20,3,1044528,1048576,1.00000000
20,4,1030087,1048576,1.00000000
20,5,984770,1048576,1.00000000
20,6,877449,1048576,1.00000000
20,7,686794,1048576,1.00000000
20,8,439123,1048576,1.00000000
20,9,212958,1048576,1.00000000
22,3,4188922,4194304,1.00000000
22,4,4167035,4194304,1.00000000
22,6,3872749,4194304,1.00000000
22,8,2638639,4194304,1.00000000
22,10,835875,4194304,1.00000000
24,3,16770242,16777216,1.00000000
24,4,16738389,16777216,1.00000000
24,6,16213436,16777216,1.00000000
24,8,13244593,16777216,1.00000000
24,10,6510373,16777216,1.00000000
24,11,3282379,16777216,1.00000000
26,3,67100008,67108864,1.00000000
26,5,66858114,67108864,1.00000000
26,7,64235784,67108864,1.00000000
26,9,51524408,67108864,1.00000000
26,11,25196243,67108864,1.00000000
26,12,12923567,67108864,1.00000000
