Coverage Experiment Results
===========================
Three random Hamming balls of radius r removed from F_2^n.
S = F_2^n \ balls.  Columns: n, r, |S|, |S+S|, |S+S|/2^n per trial.

+------+------+----------------+----------------+-------------------+
|    n |    r |            |S| |          |S+S| |         |S+S|/2^n |
+------+------+----------------+----------------+-------------------+
|   20 |    3 |      1,044,528 |      1,048,576 |          1.000000 |
|   20 |    4 |      1,030,087 |      1,048,576 |          1.000000 |
|   20 |    5 |        984,770 |      1,048,576 |          1.000000 |
|   20 |    6 |        877,449 |      1,048,576 |          1.000000 |
|   20 |    7 |        686,794 |      1,048,576 |          1.000000 |
|   20 |    8 |        439,123 |      1,048,576 |          1.000000 |
|   20 |    9 |        212,958 |      1,048,576 |          1.000000 |
|   22 |    3 |      4,188,922 |      4,194,304 |          1.000000 |
|   22 |    4 |      4,167,035 |      4,194,304 |          1.000000 |
|   22 |    6 |      3,872,749 |      4,194,304 |          1.000000 |
|   22 |    8 |      2,638,639 |      4,194,304 |          1.000000 |
|   22 |   10 |        835,875 |      4,194,304 |          1.000000 |
|   24 |    3 |     16,770,242 |     16,777,216 |          1.000000 |
|   24 |    4 |     16,738,389 |     16,777,216 |          1.000000 |
|   24 |    6 |     16,213,436 |     16,777,216 |          1.000000 |
|   24 |    8 |     13,244,593 |     16,777,216 |          1.000000 |
|   24 |   10 |      6,510,373 |     16,777,216 |          1.000000 |
|   24 |   11 |      3,282,379 |     16,777,216 |          1.000000 |
|   26 |    3 |     67,100,008 |     67,108,864 |          1.000000 |
|   26 |    5 |     66,858,114 |     67,108,864 |          1.000000 |
|   26 |    7 |     64,235,784 |     67,108,864 |          1.000000 |
|   26 |    9 |     51,524,408 |     67,108,864 |          1.000000 |
|   26 |   11 |     25,196,243 |     67,108,864 |          1.000000 |
|   26 |   12 |     12,923,567 |     67,108,864 |          1.000000 |
+------+------+----------------+----------------+-------------------+
